
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant,LAL,29:00,7,14,2,5,0,0,3,3,6,7,3,1,4,5,16,.500,.400,
Tracy McGrady,HOU,24:00,4,13,0,4,0,0,1,4,5,5,3,2,3,1,8,.308,.000,
Yao Ming,HOU,22:00,5,9,0,0,1,2,3,5,8,5,0,1,1,1,11,.556,,.500
Tim Duncan,SAS,16:00,7,10,1,1,0,1,2,7,9,2,0,0,2,0,15,.700,1.000,.000
Kevin Garnett,MIN,16:00,5,8,0,0,0,1,0,3,3,2,0,0,2,2,10,.625,,.000
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Ray Allen,SEA,23:00,6,16,5,11,0,0,0,4,4,1,0,0,1,2,17,.375,.455,
Manu Ginobili,SAS,22:00,3,6,0,2,2,2,2,1,3,1,1,1,3,3,8,.500,.000,1.000
Dirk Nowitzki,DAL,21:00,4,10,1,3,1,2,3,5,8,2,4,4,3,1,10,.400,.333,.500
Amar'e Stoudemire,PHO,20:00,3,11,0,0,0,2,4,5,9,2,1,0,1,2,6,.273,,.000
Steve Nash,PHO,17:00,1,2,0,1,0,0,0,0,0,6,0,0,3,0,2,.500,.000,
Shawn Marion,PHO,16:00,5,7,0,0,0,1,3,0,3,4,0,0,1,0,10,.714,,.000
Rashard Lewis,SEA,14:00,1,7,0,2,0,0,1,3,4,1,1,0,1,2,2,.143,.000,
Team Totals,,240,51,113,9,29,4,11,22,40,62,38,13,9,25,19,115,.451,.310,.364
