
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwight Howard,ORL,27:30,5,11,0,2,3,5,3,6,9,0,1,3,1,3,13,.455,.000,.600
LeBron James,CLE,26:50,8,19,2,5,2,2,0,5,5,3,0,0,3,0,20,.421,.400,1.000
Dwyane Wade,MIA,26:39,6,13,2,6,4,7,2,0,2,5,3,0,0,2,18,.462,.333,.571
Kevin Garnett,BOS,18:52,5,5,0,0,2,2,2,2,4,2,0,0,2,0,12,1.000,,1.000
Allen Iverson,DET,15:39,1,4,0,0,0,0,0,1,1,3,1,0,1,1,2,.250,,
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Joe Johnson,ATL,21:38,0,4,0,3,0,0,0,0,0,0,0,0,5,0,0,.000,.000,
Rashard Lewis,ORL,20:30,3,6,1,4,1,2,1,5,6,0,0,0,1,3,8,.500,.250,.500
Paul Pierce,BOS,19:39,6,11,1,5,5,6,1,3,4,2,2,0,1,3,18,.545,.200,.833
Ray Allen,BOS,18:12,4,10,0,3,0,0,1,2,3,1,0,0,1,0,8,.400,.000,
Devin Harris,NJN,17:06,3,6,0,1,0,0,1,0,1,0,0,0,0,0,6,.500,.000,
Mo Williams,CLE,16:42,5,10,2,5,0,0,1,1,2,5,0,0,2,0,12,.500,.400,
Danny Granger,IND,10:43,1,1,0,0,0,0,1,0,1,0,2,0,1,0,2,1.000,,
Team Totals,,240,47,100,8,34,17,24,13,25,38,21,9,3,18,12,119,.470,.235,.708
