
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Tony Parker,24,4,4,151,42,74,4,7,10,19,3,17,20,13,3,0,12,5,98,.568,.571,.526,37.8,24.5,5.0,3.3,0.8,0.0
2,Tim Duncan,30,4,4,149,29,65,0,0,15,24,16,30,46,15,5,9,11,13,73,.446,,.625,37.3,18.3,11.5,3.8,1.3,2.3
3,Manu Ginobili,29,4,0,117,18,49,10,23,25,30,1,22,23,10,5,0,9,15,71,.367,.435,.833,29.3,17.8,5.8,2.5,1.3,0.0
4,Bruce Bowen,35,4,4,167,8,27,7,18,1,4,3,19,22,5,2,1,3,7,24,.296,.389,.250,41.7,6.0,5.5,1.3,0.5,0.3
5,Fabricio Oberto,31,4,4,83,8,17,0,0,1,3,7,10,17,2,1,0,4,11,17,.471,,.333,20.8,4.3,4.3,0.5,0.3,0.0
6,Francisco Elson,30,4,0,46,6,6,0,0,4,5,6,4,10,0,1,0,3,5,16,1.000,,.800,11.4,4.0,2.5,0.0,0.3,0.0
7,Michael Finley,33,4,4,74,6,23,1,12,2,3,1,7,8,3,5,0,2,4,15,.261,.083,.667,18.5,3.8,2.0,0.8,1.3,0.0
8,Brent Barry,35,4,0,42,4,11,4,10,0,0,1,5,6,2,1,0,3,3,12,.364,.400,,10.6,3.0,1.5,0.5,0.3,0.0
9,Robert Horry,36,4,0,88,3,9,3,8,3,4,4,14,18,13,1,5,5,7,12,.333,.375,.750,22.0,3.0,4.5,3.3,0.3,1.3
10,Jacque Vaughn,31,4,0,41,4,7,0,0,0,0,1,4,5,4,0,0,0,2,8,.571,,,10.1,2.0,1.3,1.0,0.0,0.0
11,Beno Udrih,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.6,0.0,0.0,0.0,0.0,0.0
,Team Totals,,4,,960,128,288,29,78,61,92,43,132,175,67,24,15,52,72,346,.444,.372,.663,240.0,86.5,43.8,16.8,6.0,3.8
