
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Paul Pierce,30,6,6,233,38,88,11,28,44,53,3,24,27,38,7,2,22,24,131,.432,.393,.830,38.8,21.8,4.5,6.3,1.2,0.3
2,Ray Allen,32,6,6,246,37,73,22,42,26,30,8,22,30,15,8,4,11,16,122,.507,.524,.867,41.0,20.3,5.0,2.5,1.3,0.7
3,Kevin Garnett,31,6,6,228,45,105,0,1,19,25,22,56,78,18,10,6,16,16,109,.429,.000,.760,37.9,18.2,13.0,3.0,1.7,1.0
4,Rajon Rondo,21,6,6,162,20,53,0,3,16,27,7,16,23,40,9,3,9,13,56,.377,.000,.593,27.0,9.3,3.8,6.7,1.5,0.5
5,James Posey,31,6,0,151,14,28,12,24,12,12,3,20,23,3,8,1,5,16,52,.500,.500,1.000,25.2,8.7,3.8,0.5,1.3,0.2
6,Leon Powe,24,6,1,53,11,20,0,0,15,21,7,12,19,0,0,0,2,13,37,.550,,.714,8.9,6.2,3.2,0.0,0.0,0.0
7,Eddie House,29,4,0,74,10,28,7,17,5,6,0,10,10,10,1,0,2,4,32,.357,.412,.833,18.5,8.0,2.5,2.5,0.3,0.0
8,P.J. Brown,38,6,0,117,9,23,0,0,6,8,5,14,19,4,3,3,2,19,24,.391,,.750,19.5,4.0,3.2,0.7,0.5,0.5
9,Kendrick Perkins,23,5,5,92,8,14,0,0,4,6,8,10,18,2,3,5,6,21,20,.571,,.667,18.4,4.0,3.6,0.4,0.6,1.0
10,Sam Cassell,38,5,0,51,9,24,0,6,1,1,0,1,1,6,2,0,2,4,19,.375,.000,1.000,10.1,3.8,0.2,1.2,0.4,0.0
11,Tony Allen,26,3,0,19,4,6,0,0,0,0,0,1,1,2,1,0,0,0,8,.667,,,6.3,2.7,0.3,0.7,0.3,0.0
12,Glen Davis,22,1,0,15,1,2,0,0,1,2,2,2,4,0,0,0,0,2,3,.500,,.500,14.6,3.0,4.0,0.0,0.0,0.0
,Team Totals,,6,,1440,206,464,52,121,149,191,65,188,253,138,52,24,77,148,613,.444,.430,.780,240.0,102.2,42.2,23.0,8.7,4.0
