
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kobe Bryant,30,5,5,219,58,135,9,25,37,44,3,25,28,37,7,7,16,13,162,.430,.360,.841,43.8,32.4,5.6,7.4,1.4,1.4
2,Pau Gasol,28,5,5,212,36,60,0,0,21,27,10,36,46,11,4,9,5,15,93,.600,,.778,42.5,18.6,9.2,2.2,0.8,1.8
3,Lamar Odom,29,5,0,169,26,48,4,8,11,16,10,29,39,4,5,5,9,21,67,.542,.500,.688,33.8,13.4,7.8,0.8,1.0,1.0
4,Trevor Ariza,23,5,5,188,20,56,10,24,5,10,9,21,30,8,9,1,5,16,55,.357,.417,.500,37.6,11.0,6.0,1.6,1.8,0.2
5,Derek Fisher,34,5,5,179,21,42,7,16,6,6,3,12,15,9,6,0,3,16,55,.500,.438,1.000,35.9,11.0,3.0,1.8,1.2,0.0
6,Andrew Bynum,21,5,5,95,12,33,0,0,6,9,10,11,21,3,2,3,3,21,30,.364,,.667,18.9,6.0,4.2,0.6,0.4,0.6
7,Luke Walton,28,5,0,76,8,10,0,1,3,6,3,7,10,5,1,0,2,9,19,.800,.000,.500,15.2,3.8,2.0,1.0,0.2,0.0
8,Jordan Farmar,22,5,0,57,7,19,1,8,2,2,2,4,6,2,2,0,3,4,17,.368,.125,1.000,11.5,3.4,1.2,0.4,0.4,0.0
9,Josh Powell,26,2,0,11,2,4,1,1,0,0,2,2,4,1,0,0,2,2,5,.500,1.000,,5.5,2.5,2.0,0.5,0.0,0.0
10,Shannon Brown,23,3,0,16,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,.000,,,5.2,0.0,0.3,0.0,0.0,0.0
11,Didier Ilunga-Mbenga,28,3,0,6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,.000,,,2.0,0.0,0.3,0.0,0.0,0.3
12,Sasha Vujacic,24,5,0,22,0,6,0,3,0,0,0,2,2,2,0,0,1,3,0,.000,.000,,4.4,0.0,0.4,0.4,0.0,0.0
,Team Totals,,5,,1250,190,416,32,86,91,120,53,150,203,82,36,26,50,121,503,.457,.372,.758,250.0,100.6,40.6,16.4,7.2,5.2
