
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kobe Bryant,31,7,7,288,66,163,15,47,53,60,12,44,56,27,15,5,27,27,200,.405,.319,.883,41.2,28.6,8.0,3.9,2.1,0.7
2,Pau Gasol,29,7,7,293,43,90,0,2,44,61,35,46,81,26,5,18,13,21,130,.478,.000,.721,41.9,18.6,11.6,3.7,0.7,2.6
3,Metta World Peace,30,7,7,251,26,72,11,32,11,20,12,20,32,9,10,4,11,24,74,.361,.344,.550,35.9,10.6,4.6,1.3,1.4,0.6
4,Derek Fisher,35,7,7,214,21,50,2,10,16,17,3,18,21,14,6,0,9,25,60,.420,.200,.941,30.6,8.6,3.0,2.0,0.9,0.0
5,Lamar Odom,30,7,0,192,23,47,1,10,6,11,10,36,46,9,4,4,10,23,53,.489,.100,.545,27.4,7.6,6.6,1.3,0.6,0.6
6,Andrew Bynum,22,7,7,175,19,42,0,0,14,20,16,20,36,0,1,9,6,17,52,.452,,.700,24.9,7.4,5.1,0.0,0.1,1.3
7,Shannon Brown,24,7,0,84,9,20,0,3,3,3,0,6,6,3,0,1,0,5,21,.450,.000,1.000,12.1,3.0,0.9,0.4,0.0,0.1
8,Jordan Farmar,23,7,0,88,9,28,2,10,1,2,1,7,8,6,8,0,8,5,21,.321,.200,.500,12.6,3.0,1.1,0.9,1.1,0.0
9,Sasha Vujacic,25,7,0,52,6,16,4,10,5,6,3,4,7,5,2,0,1,5,21,.375,.400,.833,7.4,3.0,1.0,0.7,0.3,0.0
10,Luke Walton,29,4,0,31,1,3,0,0,0,0,0,2,2,3,0,2,2,3,2,.333,,,7.8,0.5,0.5,0.8,0.0,0.5
11,Didier Ilunga-Mbenga,29,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,.000,,,2.7,0.0,1.0,0.0,0.0,0.0
12,Josh Powell,27,2,0,8,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,.000,.000,,4.1,0.0,0.5,0.0,0.0,0.0
,Team Totals,,7,,1680,223,534,35,125,153,200,92,205,297,102,51,43,87,156,634,.418,.280,.765,240.0,90.6,42.4,14.6,7.3,6.1
