
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Dirk Nowitzki,32,6,6,242,52,125,7,19,45,46,2,56,58,12,4,4,17,15,156,.416,.368,.978,40.4,26.0,9.7,2.0,0.7,0.7
2,Jason Terry,33,6,0,195,38,77,11,28,21,28,3,9,12,19,8,0,8,10,108,.494,.393,.750,32.6,18.0,2.0,3.2,1.3,0.0
3,Shawn Marion,32,6,6,215,34,71,0,1,14,17,14,24,38,14,5,4,14,13,82,.479,.000,.824,35.8,13.7,6.3,2.3,0.8,0.7
4,Tyson Chandler,28,6,6,224,19,32,0,0,20,32,24,29,53,4,7,7,3,24,58,.594,,.625,37.3,9.7,8.8,0.7,1.2,1.2
5,Jose Barea,26,6,3,128,21,55,6,18,5,7,4,9,13,19,3,0,9,10,53,.382,.333,.714,21.4,8.8,2.2,3.2,0.5,0.0
6,Jason Kidd,37,6,6,225,14,36,12,28,6,8,2,25,27,38,7,5,21,6,46,.389,.429,.750,37.4,7.7,4.5,6.3,1.2,0.8
7,DeShawn Stevenson,29,6,3,103,13,24,13,23,3,4,1,8,9,2,4,1,1,9,42,.542,.565,.750,17.2,7.0,1.5,0.3,0.7,0.2
8,Ian Mahinmi,24,3,0,27,3,5,0,0,3,5,3,2,5,0,1,0,0,13,9,.600,,.600,9.0,3.0,1.7,0.0,0.3,0.0
9,Brian Cardinal,33,5,0,30,2,3,2,3,1,2,0,1,1,1,1,0,3,8,7,.667,.667,.500,6.1,1.4,0.2,0.2,0.2,0.0
10,Brendan Haywood,31,3,0,25,1,3,0,0,3,6,2,5,7,0,1,3,1,6,5,.333,,.500,8.5,1.7,2.3,0.0,0.3,1.0
11,Peja Stojakovic,33,4,0,26,1,5,0,4,0,0,0,3,3,0,2,0,2,4,2,.200,.000,,6.4,0.5,0.8,0.0,0.5,0.0
,Team Totals,,6,,1440,198,436,51,124,121,155,55,171,226,109,43,24,79,118,568,.454,.411,.781,240.0,94.7,37.7,18.2,7.2,4.0
