
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James,27,5,5,220,51,108,3,16,38,46,15,36,51,37,8,2,19,10,143,.472,.188,.826,44.1,28.6,10.2,7.4,1.6,0.4
2,Dwyane Wade,30,5,5,203,40,92,2,5,31,40,6,24,30,26,7,6,14,15,113,.435,.400,.775,40.6,22.6,6.0,5.2,1.4,1.2
3,Chris Bosh,27,5,4,183,28,62,2,5,15,17,15,32,47,1,3,6,5,9,73,.452,.400,.882,36.6,14.6,9.4,0.2,0.6,1.2
4,Shane Battier,33,5,5,187,19,31,15,26,5,7,2,15,17,2,4,0,1,17,58,.613,.577,.714,37.5,11.6,3.4,0.4,0.8,0.0
5,Mario Chalmers,25,5,5,183,19,43,8,23,6,7,1,12,13,20,9,2,10,14,52,.442,.348,.857,36.5,10.4,2.6,4.0,1.8,0.4
6,Mike Miller,31,5,0,44,9,16,7,11,6,6,1,8,9,2,1,1,0,9,31,.563,.636,1.000,8.9,6.2,1.8,0.4,0.2,0.2
7,Norris Cole,23,4,0,44,5,15,3,7,0,0,0,4,4,0,0,0,1,8,13,.333,.429,,11.0,3.3,1.0,0.0,0.0,0.0
8,Udonis Haslem,31,5,1,81,4,10,0,0,5,6,8,14,22,2,0,2,5,11,13,.400,,.833,16.3,2.6,4.4,0.4,0.0,0.4
9,James Jones,31,4,0,43,3,6,2,5,3,3,1,5,6,0,1,0,2,5,11,.500,.400,1.000,10.7,2.8,1.5,0.0,0.3,0.0
10,Terrel Harris,24,1,0,3,0,0,0,0,3,4,0,1,1,0,0,0,0,0,3,,,.750,3.0,3.0,1.0,0.0,0.0,0.0
11,Joel Anthony,29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.1,0.0,0.0,0.0,0.0,0.0
12,Juwan Howard,38,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0
13,Ronny Turiaf,29,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,3.0,0.0,1.0,0.0,0.0,0.0
,Team Totals,,5,,1200,178,384,42,98,112,136,49,152,201,90,33,19,57,98,510,.464,.429,.824,240.0,102.0,40.2,18.0,6.6,3.8
