
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Tony Parker,31,5,5,176,35,73,5,12,15,20,0,2,2,23,4,0,10,9,90,.479,.417,.750,35.2,18.0,0.4,4.6,0.8,0.0
2,Kawhi Leonard,22,5,5,167,30,49,11,19,18,23,8,24,32,10,8,6,9,22,89,.612,.579,.783,33.4,17.8,6.4,2.0,1.6,1.2
3,Tim Duncan,37,5,5,165,29,51,0,1,19,28,13,37,50,10,2,4,12,12,77,.569,.000,.679,33.1,15.4,10.0,2.0,0.4,0.8
4,Manu Ginobili,36,5,0,143,24,48,10,24,14,16,0,15,15,22,5,1,12,16,72,.500,.417,.875,28.7,14.4,3.0,4.4,1.0,0.2
5,Patrick Mills,25,5,0,76,19,35,13,23,0,0,1,6,7,8,2,0,1,5,51,.543,.565,,15.2,10.2,1.4,1.6,0.4,0.0
6,Danny Green,26,5,5,106,17,32,9,20,3,4,2,8,10,6,10,2,6,14,46,.531,.450,.750,21.1,9.2,2.0,1.2,2.0,0.4
7,Boris Diaw,31,5,3,176,12,33,3,9,4,8,9,34,43,29,4,1,8,5,31,.364,.333,.500,35.2,6.2,8.6,5.8,0.8,0.2
8,Tiago Splitter,29,5,2,84,12,17,0,0,7,9,3,14,17,10,3,3,6,9,31,.706,,.778,16.8,6.2,3.4,2.0,0.6,0.6
9,Marco Belinelli,27,5,0,59,8,17,4,9,3,4,0,6,6,3,1,0,3,3,23,.471,.444,.750,11.8,4.6,1.2,0.6,0.2,0.0
10,Aron Baynes,27,3,0,6,2,2,0,0,2,2,2,0,2,0,0,0,0,0,6,1.000,,1.000,2.1,2.0,0.7,0.0,0.0,0.0
11,Jeff Ayres,26,3,0,7,1,1,0,0,3,4,1,1,2,1,0,0,0,1,5,1.000,,.750,2.2,1.7,0.7,0.3,0.0,0.0
12,Matt Bonner,33,4,0,27,1,1,0,0,3,4,0,3,3,5,1,0,0,2,5,1.000,,.750,6.7,1.3,0.8,1.3,0.3,0.0
13,Cory Joseph,22,3,0,8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,.333,.000,,2.5,0.7,0.0,0.0,0.0,0.0
,Team Totals,,5,,1200,191,362,55,118,91,122,39,150,189,127,40,17,67,99,528,.528,.466,.746,240.0,105.6,37.8,25.4,8.0,3.4
