id,name,ties,wins,losses,chmps
23,MIL,0,1955,1861,1
21,GSW,0,2528,2875,4
15,MIN,0,822,1272,0
19,TOR,0,685,918,0
4,ATL,0,2610,2626,1
24,BOS,0,3178,2227,17
20,DET,0,2577,2719,3
8,NYK,0,2674,2730,2
2,DEN,0,1948,1956,0
3,SAC,0,2435,2863,1
0,BKN,0,1340,1820,0
11,POR,0,1951,1702,1
26,ORL,0,1032,1063,0
7,MIA,0,1128,1047,3
14,CLE,0,1679,1973,0
1,SAS,0,1946,1213,5
12,CHA,0,873,1139,0
28,UTA,0,1780,1544,0
13,CHI,0,2079,1899,6
25,HOU,0,2015,1883,2
18,WAS,0,1927,2410,1
27,LAL,0,3220,2077,16
22,PHI,0,2716,2516,3
10,MEM,0,657,946,0
16,LAC,0,1422,2230,0
9,DAL,0,1446,1386,1
5,OKC,0,2090,1808,1
6,PHX,0,2104,1711,0
29,IND,0,1567,1592,0
17,NOP,0,499,561,0
