WR's,qbYards,qbInter,qbSacks,qbCompl,qbAtt,qbRating,rushingAtt,rushingYds,receptions,recievingYds,td,championships,mvps,pro bowls
Ben Coates,0,0,0,0,0,0,0,0,3.158227848,35.2,0.316455696,1,0,5
Antonio Gates,0,0,0,0,0,0,0,0,4.459016393,56.4,0.333333333,0,0,8
Ozzie Newsome,0,0,0,0,0,0,0.1,0.7,3.343434343,40.3,0.247474748,0,0,3
Todd Christensen,0,0,0,0,0,0,0.00729927,0,3.364963504,42.9,0.299270073,2,0,5
Dave Casper,0,0,0,0,0.006802721,39.6,0,0.2,2.571428571,35.5,0.353741497,1,0,5
Kellen Winslow,0,0,0,0,0.027522936,39.6,0,0,4.963302752,61.8,0.412844037,0,0,5
Shannon Sharpe,0,0,0,0,0,0,0,0,3.995098039,49.3,0.303921569,3,0,8
Tony Gonzalez,0,0,0,0.003703704,0.003703704,118.8,0,0.1,4.907407407,56,0.411111111,0,0,14
Mike Ditka,0,0,0,0,0,0,0,0,2.702531646,36.8,0.272151899,4,0,5
John Mackey,0,0,0,0,0,0,0.1,0.9,2.381294964,37.3,0.273381295,1,0,5
James Lofton,0.2,0,0,0.004291845,0.004291845,62.9,0.1,1.1,3.278969957,60.1,0.326180258,0,0,8
Marvin Harrison,0,0,0,0,0,0,0.1,0.1,5.8,76.7,0.673684211,1,0,8
Steve Largent,0.1,0,0,0.01,0.01,44.3,0.1,0.4,4.095,65.4,0.5,0,0,7
Terrell Owens,0,0,0,0,0,0,0.2,1.1,4.922374429,72.8,0.712328767,0,0,6
Lynn Swann,0,0,0,0,0,0,0.1,0.6,2.896551724,47.1,0.448275862,4,0,3
Michael Irvin,0,0,0,0,0,0,0,0,4.716981132,74.9,0.408805031,3,0,9
Tim Brown,0,0,0,0,0,0,0.2,0.7,4.290196078,58.6,0.392156863,0,0,9
Randy Moss,0.5,0.004587156,0,0.018348624,0.018348624,95.8,0.1,0.7,4.504587156,70.1,0.724770642,0,0,7
Don Hutson,0.3,0.017241379,0,0.00862069,0.1,32.2,0.5,2.4,4.206896552,68.9,0.853448276,3,2,4
Jerry Rice,0.2,0.00330033,0,0.00990099,0.00990099,50.4,0.3,2.1,5.112211221,75.6,0.650165017,3,0,10
