
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant,LAL,28:09,13,24,3,9,2,2,1,4,5,6,6,0,4,1,31,.542,.333,1.000
Tracy McGrady,HOU,18:26,3,8,2,5,0,0,1,2,3,11,2,0,3,0,8,.375,.400,
Dirk Nowitzki,DAL,16:05,4,9,1,2,0,0,2,3,5,2,0,0,0,0,9,.444,.500,
Tim Duncan,SAS,14:38,2,3,0,0,0,0,0,5,5,4,1,1,0,1,4,.667,,
Kevin Garnett,MIN,14:11,3,8,0,0,1,2,4,2,6,4,2,1,1,0,7,.375,,.500
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Carmelo Anthony,DEN,25:10,10,15,0,0,0,0,3,6,9,1,1,0,0,2,20,.667,,
Tony Parker,SAS,23:44,4,7,0,0,0,0,0,2,2,10,1,0,4,0,8,.571,,
Shawn Marion,PHO,21:54,9,15,0,1,0,0,5,3,8,4,2,0,2,0,18,.600,.000,
Ray Allen,SEA,21:22,4,10,4,7,0,0,0,1,1,3,1,0,1,0,12,.400,.571,
Amar'e Stoudemire,PHO,21:21,14,22,0,1,1,1,6,3,9,3,1,2,1,5,29,.636,.000,1.000
Josh Howard,DAL,20:17,1,3,0,1,1,2,1,3,4,3,0,0,1,1,3,.333,.000,.500
Mehmet Okur,UTA,14:43,2,2,0,0,0,2,0,2,2,1,0,0,0,0,4,1.000,,.000
Team Totals,,240,69,126,10,26,5,9,23,36,59,52,17,4,17,10,153,.548,.385,.556
