
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwight Howard,ORL,30:33,7,7,0,0,2,3,5,4,9,3,3,1,1,4,16,1.000,,.667
LeBron James,CLE,30:15,12,22,2,7,1,1,1,7,8,9,2,2,4,3,27,.545,.286,1.000
Jason Kidd,NJN,25:05,1,2,0,1,0,0,0,4,4,10,4,0,1,0,2,.500,.000,
Dwyane Wade,MIA,21:48,7,12,0,1,0,2,1,3,4,3,0,1,2,1,14,.583,.000,.000
Chris Bosh,TOR,21:32,7,15,0,0,0,2,2,5,7,1,0,0,1,1,14,.467,,.000
,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting
Reserves,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Ray Allen,BOS,18:54,10,14,5,9,3,5,0,2,2,1,2,0,0,0,28,.714,.556,.600
Chauncey Billups,DET,18:07,3,10,0,6,0,1,1,0,1,4,0,0,1,1,6,.300,.000,.000
Richard Hamilton,DET,18:00,4,9,1,1,0,0,0,0,0,2,0,0,0,0,9,.444,1.000,
Rasheed Wallace,DET,17:37,1,5,1,5,0,0,2,3,5,0,1,2,1,2,3,.200,.200,
Joe Johnson,ATL,13:20,1,2,1,1,0,0,0,0,0,2,1,0,1,1,3,.500,1.000,
Paul Pierce,BOS,12:37,5,9,0,3,0,0,0,4,4,2,0,0,2,0,10,.556,.000,
Antawn Jamison,WAS,12:12,1,3,0,2,0,0,0,1,1,0,0,1,2,0,2,.333,.000,
Team Totals,,240,59,110,10,36,6,14,12,33,45,37,13,7,16,13,134,.536,.278,.429
