,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,,,,
Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Position,Chmps,AllStar,MVP
Kareem Abdul-Jabbar,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,0.559,0.056,0.721,273.4,0.228,C,6,19,6
Tiny Archibald,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,0.467,0.224,0.81,83.4,0.128,G,1,6,0
Paul Arizin,1951,1962,713,38.4,22.8,8.6,2.3,0,0,0.421,0,0.81,108.8,0.183,F,1,10,0
Charles Barkley,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216,F,0,11,1
Rick Barry,1966,1980,794,36.3,23.2,6.5,5.1,2,0.5,0.449,0.33,0.9,93.4,0.156,F,1,8,0
Elgin Baylor,1959,1972,846,40,27.4,13.5,4.3,0,0,0.431,0,0.78,104.2,0.148,F,0,11,0
Dave Bing,1967,1978,901,36.4,20.3,3.8,6,1.3,0.2,0.441,0,0.775,68.8,0.101,G,0,7,0
Larry Bird,1980,1992,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203,F,3,12,3
Wilt Chamberlain,1960,1973,1045,45.8,30.1,22.9,4.4,0,0,0.54,0,0.511,247.3,0.248,C,2,13,4
Bob Cousy,1951,1970,924,35.3,18.4,5.2,7.5,0,0,0.375,0,0.803,91.1,0.139,G,6,13,1
Dave Cowens,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.783,86.3,0.14,C,2,7,1
Billy Cunningham,1966,1976,654,34.3,20.8,10.1,4,1.2,0.5,0.446,0,0.72,63.2,0.135,F,1,4,1
Dave DeBusschere,1963,1974,875,35.7,16.1,11,2.9,0.9,0.5,0.432,0,0.699,60.8,0.093,F,2,8,0
Clyde Drexler,1984,1998,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173,G,1,10,0
Julius Erving,1977,1987,836,34.3,22,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.178,F,3,16,4
Patrick Ewing,1986,2002,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.152,0.74,126.4,0.15,C,0,11,0
Walt Frazier,1968,1980,825,37.5,18.9,5.9,6.1,1.9,0.2,0.49,0,0.786,113.5,0.176,G,2,7,0
George Gervin,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.297,0.844,88.1,0.159,G,0,9,1
Hal Greer,1959,1973,1122,35.5,19.2,5,4,0,0,0.452,0,0.801,102.7,0.124,G,1,10,0
John Havlicek,1963,1978,1270,36.6,20.8,6.3,4.8,1.2,0.3,0.439,0,0.815,131.7,0.136,F,8,13,0
Elvin Hayes,1969,1984,1303,38.4,21,12.5,1.8,1,2,0.452,0.147,0.67,120.8,0.116,C,1,12,0
Magic Johnson,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225,G,5,12,3
