
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Tim Duncan,28,7,7,285,54,129,0,0,36,54,33,66,99,15,3,15,17,16,144,.419,,.667,40.7,20.6,14.1,2.1,0.4,2.1
2,Manu Ginobili,27,7,7,252,42,85,12,31,35,41,8,33,41,28,9,1,23,23,131,.494,.387,.854,36.0,18.7,5.9,4.0,1.3,0.1
3,Tony Parker,22,7,7,267,44,96,2,14,7,16,2,15,17,24,2,1,22,24,97,.458,.143,.438,38.1,13.9,2.4,3.4,0.3,0.1
4,Robert Horry,34,7,0,200,24,54,15,31,11,15,13,21,34,15,7,5,8,15,74,.444,.484,.733,28.6,10.6,4.9,2.1,1.0,0.7
5,Bruce Bowen,33,7,7,271,19,50,13,29,4,6,1,18,19,14,4,5,11,26,55,.380,.448,.667,38.7,7.9,2.7,2.0,0.6,0.7
6,Nazr Mohammed,27,7,7,158,13,30,0,0,8,11,20,22,42,0,2,6,5,15,34,.433,,.727,22.6,4.9,6.0,0.0,0.3,0.9
7,Brent Barry,33,7,0,144,11,27,6,16,4,5,3,12,15,11,4,2,8,15,32,.407,.375,.800,20.6,4.6,2.1,1.6,0.6,0.3
8,Beno Udrih,22,5,0,44,4,11,2,4,2,2,2,3,5,4,1,0,8,3,12,.364,.500,1.000,8.8,2.4,1.0,0.8,0.2,0.0
9,Devin Brown,26,6,0,35,3,11,1,2,4,7,1,5,6,3,0,0,1,2,11,.273,.500,.571,5.8,1.8,1.0,0.5,0.0,0.0
10,Rasho Nesterovic,28,4,0,26,1,2,0,0,0,2,3,5,8,1,0,1,1,2,2,.500,,.000,6.5,0.5,2.0,0.3,0.0,0.3
11,Glenn Robinson,32,3,0,14,1,5,0,1,0,0,0,3,3,0,0,3,1,0,2,.200,.000,,4.7,0.7,1.0,0.0,0.0,1.0
12,Tony Massenburg,37,3,0,9,0,3,0,0,0,0,0,3,3,0,0,0,0,1,0,.000,,,3.0,0.0,1.0,0.0,0.0,0.0
,Team Totals,,7,,1705,216,503,51,128,111,159,86,206,292,115,32,39,105,142,594,.429,.398,.698,243.6,84.9,41.7,16.4,4.6,5.6
