
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Dwyane Wade,24,6,6,261,65,139,3,11,75,97,12,35,47,23,16,6,22,22,208,.468,.273,.773,43.5,34.7,7.8,3.8,2.7,1.0
2,Antoine Walker,29,6,6,219,34,87,10,37,5,9,4,29,33,13,4,3,12,17,83,.391,.270,.556,36.6,13.8,5.5,2.2,0.7,0.5
3,Shaquille O'Neal,33,6,6,211,34,56,0,0,14,48,15,46,61,17,3,5,19,22,82,.607,,.292,35.2,13.7,10.2,2.8,0.5,0.8
4,Jason Williams,30,6,6,188,18,50,10,29,7,11,0,11,11,28,3,0,8,9,53,.360,.345,.636,31.3,8.8,1.8,4.7,0.5,0.0
5,James Posey,29,6,0,177,13,31,8,20,10,13,6,30,36,2,6,0,7,22,44,.419,.400,.769,29.5,7.3,6.0,0.3,1.0,0.0
6,Udonis Haslem,25,6,6,175,18,36,0,0,3,10,17,20,37,2,7,0,14,25,39,.500,,.300,29.2,6.5,6.2,0.3,1.2,0.0
7,Alonzo Mourning,35,6,0,66,9,13,0,0,8,12,4,15,19,0,2,9,4,14,26,.692,,.667,11.0,4.3,3.2,0.0,0.3,1.5
8,Gary Payton,37,6,0,134,7,19,1,7,1,3,3,9,12,12,6,0,6,14,16,.368,.143,.333,22.3,2.7,2.0,2.0,1.0,0.0
9,Shandon Anderson,32,4,0,31,2,6,0,1,2,4,2,5,7,3,0,0,4,1,6,.333,.000,.500,7.7,1.5,1.8,0.8,0.0,0.0
10,Michael Doleac,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.2,0.0,0.0,0.0,0.0,0.0
11,Jason Kapono,24,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.5,0.0,0.0,0.0,0.0,0.0
,Team Totals,,6,,1465,200,437,32,105,125,207,63,200,263,100,47,23,96,146,557,.458,.305,.604,244.2,92.8,43.8,16.7,7.8,3.8
