
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,LeBron James,28,7,7,301,67,150,12,34,31,39,17,59,76,49,16,6,18,10,177,.447,.353,.795,43.0,25.3,10.9,7.0,2.3,0.9
2,Dwyane Wade,31,7,7,255,60,126,0,0,17,22,9,19,28,32,13,9,16,10,137,.476,,.773,36.4,19.6,4.0,4.6,1.9,1.3
3,Chris Bosh,28,7,7,240,36,78,0,6,11,15,20,42,62,15,13,11,7,19,83,.462,.000,.733,34.3,11.9,8.9,2.1,1.9,1.6
4,Ray Allen,37,7,0,193,25,46,12,22,12,13,2,14,16,11,1,0,9,18,74,.543,.545,.923,27.5,10.6,2.3,1.6,0.1,0.0
5,Mario Chalmers,26,7,7,221,26,67,13,32,9,13,1,18,19,15,5,0,18,18,74,.388,.406,.692,31.6,10.6,2.7,2.1,0.7,0.0
6,Shane Battier,34,7,0,87,12,27,12,27,3,3,2,9,11,6,1,2,0,10,39,.444,.444,1.000,12.4,5.6,1.6,0.9,0.1,0.3
7,Mike Miller,32,7,4,152,13,22,11,18,0,0,2,17,19,6,4,2,2,17,37,.591,.611,,21.8,5.3,2.7,0.9,0.6,0.3
8,Chris Andersen,34,5,0,71,8,11,0,0,6,10,6,9,15,0,4,3,4,16,22,.727,,.600,14.2,4.4,3.0,0.0,0.8,0.6
9,Norris Cole,24,5,0,82,6,22,2,6,1,2,1,4,5,12,4,1,5,9,15,.273,.333,.500,16.3,3.0,1.0,2.4,0.8,0.2
10,Udonis Haslem,32,6,3,64,4,9,0,0,1,1,4,13,17,0,0,1,1,15,9,.444,,1.000,10.6,1.5,2.8,0.0,0.0,0.2
11,James Jones,32,3,0,12,2,5,2,3,0,0,0,1,1,0,0,1,1,2,6,.400,.667,,3.9,2.0,0.3,0.0,0.0,0.3
12,Rashard Lewis,33,3,0,12,2,6,0,0,0,0,1,1,2,2,0,0,2,0,4,.333,,,3.9,1.3,0.7,0.7,0.0,0.0
13,Joel Anthony,30,4,0,15,1,2,0,0,0,0,4,3,7,0,0,0,0,1,2,.500,,,3.7,0.5,1.8,0.0,0.0,0.0
,Team Totals,,7,,1705,262,571,64,148,91,118,69,209,278,148,61,36,83,145,679,.459,.432,.771,243.6,97.0,39.7,21.1,8.7,5.1
