RB's,qbYards,qbInter,qbSacks,qbCompl,qbAtt,qbRating,rushingAtt,rushingYds,receptions,recievingYds,td,championships,mvps,pro bowls
Earl Campbell,0.5,0.008695652,0,0.008695652,0.026086957,81.9,19,81.8,1.052173913,7,0.652173913,0,3,5
LaDainian Tomlinson,0.8,0,0.011764706,0.047058824,0.1,146.9,18.7,80.5,3.670588235,28.1,0.994117647,0,1,5
Eric Dickerson,0.01369863,0.006849315,0.006849315,0.006849315,0.006849315,75,20.5,90.8,1.924657534,14.6,0.630136986,0,1,6
Gale Sayers,1.6,0.029411765,0.014705882,0.058823529,0.3,31.7,14.6,72.9,1.647058824,19.2,0.720588235,0,0,4
Marshall Faullk,0.011363636,0,0,0,0.011363636,39.6,16.1,69.8,4.357954545,39.1,0.772727273,1,2,7
O.J. Simpson,0.8,0,0.007407407,0.044444444,0.1,82.8,17.8,83.2,1.503703704,15.9,0.562962963,0,1,6
Emmitt Smith,0.1,0,0,0.004424779,0.004424779,158.3,19.5,81.2,2.278761062,14.3,0.778761062,3,2,8
Walter Payton,1.7,0.031578947,0,0.057894737,0.2,69.6,20.2,88,2.589473684,23.9,0.7,1,3,9
Barry Sanders,0.071895425,0.006535948,0,0.006535948,0.006535948,0,20,99.8,2.300653595,19.1,0.712418301,0,2,10
Jim Brown,1,0,0.008474576,0,0.1,110.1,20,104.3,2.220338983,21.2,1.093220339,0,4,9
