
No.,,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
29,Joseph Addai,23,,16,0,210,5-11,LSU,5/3/1983,Rook,15,Indianapolis Colts / 1st / 30th pick / 2006
41,Antoine Bethea,22,SS,14,14,203,5-11,Howard,7/27/1984,Rook,5,Indianapolis Colts / 6th / 207th pick / 2006
50,Rocky Boiman,26,,16,1,236,6-4,Notre Dame,1/24/1980,4,1,Tennessee Titans / 4th / 133rd pick / 2002
58,Gary Brackett,26,MLB,14,14,235,5-11,Rutgers,5/23/1980,3,5,
79,Raheem Brock,28,RDT,16,16,274,6-4,Temple,6/10/1978,4,6,Philadelphia Eagles / 7th / 238th pick / 2002
35,Ran Carthon,25,,3,0,218,6-0,Florida,2/10/1981,1,0,
44,Dallas Clark,27,TE,12,12,257,6-3,Iowa,6/12/1979,3,5,Indianapolis Colts / 1st / 24th pick / 2003
42,Jason David,24,RCB,16,16,165,5-8,Washington St.,6/12/1982,2,6,Indianapolis Colts / 4th / 125th pick / 2004
71,Ryan Diem,27,RT,15,15,331,6-6,Northern Illinois,7/1/1979,5,10,Indianapolis Colts / 4th / 118th pick / 2001
30,De Dorsey,22,,13,0,193,6-0,Lindenwood,8/1/1984,Rook,0,
20,Mike Doss,25,,6,4,207,5-10,Ohio St.,3/24/1981,3,2,Indianapolis Colts / 2nd / 58th pick / 2003
76,Daniel Federkeil,23,,2,0,290,6-6,Calgary,11/9/1983,Rook,0,
81,Bryan Fletcher,27,,15,3,238,6-5,UCLA,3/23/1979,1,3,Chicago Bears / 6th / 210th pick / 2002
93,Dwight Freeney,26,RDE,16,16,268,6-1,Syracuse,2/19/1980,4,5,Indianapolis Colts / 1st / 11th pick / 2002
57,Dylan Gandy,24,LG,16,11,300,6-3,Texas Tech,3/8/1982,1,8,Indianapolis Colts / 4th / 129th pick / 2005
51,Gilbert Gardner,24,LLB,15,12,228,6-1,Purdue,5/9/1982,2,4,Indianapolis Colts / 3rd / 69th pick / 2004
43,Matt Giordano,24,,12,1,194,5-11,California,10/16/1982,1,1,Indianapolis Colts / 4th / 135th pick / 2005
78,Tarik Glenn*,30,LT,16,16,332,6-5,California,5/25/1976,9,14,Indianapolis Colts / 1st / 19th pick / 1997
7,Martin Gramatica,31,,3,0,170,5-8,Kansas St.,11/27/1975,7,0,Tampa Bay Buccaneers / 3rd / 80th pick / 1999
56,Tyjuan Hagler,25,,9,0,236,6-0,Cincinnati,12/3/1981,Rook,0,Indianapolis Colts / 5th / 173rd pick / 2005
25,Nick Harper,32,LCB,15,15,182,5-10,Fort Valley St.,9/10/1974,5,6,
88,Marvin Harrison*+,34,WR,16,16,175,6-0,Syracuse,8/25/1972,10,17,Indianapolis Colts / 1st / 19th pick / 1996
26,Kelvin Hayden,23,,15,1,198,5-10,Illinois,7/23/1983,1,2,Indianapolis Colts / 2nd / 60th pick / 2005
28,Marlin Jackson,23,FS,14,8,196,6-0,Michigan,6/30/1983,1,3,Indianapolis Colts / 1st / 29th pick / 2005
27,Tim Jennings,23,,11,0,186,5-8,Georgia,12/24/1983,Rook,1,Indianapolis Colts / 2nd / 62nd pick / 2006
74,Charlie Johnson,22,,16,1,302,6-3,Oklahoma St.,5/2/1984,Rook,2,Indianapolis Colts / 6th / 199th pick / 2006
59,Cato June,27,RLB,16,16,227,6-0,Michigan,11/18/1979,3,7,Indianapolis Colts / 6th / 198th pick / 2003
