
No.,,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
46,Patrick Bailey,23,,12,0,235,6-4,Duke,11/19/1985,Rook,1,
81,Dallas Baker,26,,8,0,206,6-3,Florida,11/10/1982,Rook,0,Pittsburgh Steelers / 7th / 227th pick / 2007
17,Mitch Berger,36,,13,0,220,6-4,Colorado,6/24/1972,14,1,Philadelphia Eagles / 6th / 193rd pick / 1994
31,Fernando Bryant,31,,2,0,174,5-10,Alabama,3/26/1977,9,0,Jacksonville Jaguars / 1st / 26th pick / 1999
23,Tyrone Carter,32,,16,2,190,5-8,Minnesota,3/31/1976,8,3,Minnesota Vikings / 4th / 118th pick / 2000
25,Ryan Clark,29,FS,14,14,200,5-11,LSU,10/12/1979,6,7,
74,Willie Colon,25,RT,16,16,320,6-3,Hofstra,4/9/1983,2,8,Pittsburgh Steelers / 4th / 131st pick / 2006
44,Najeh Davenport,29,,4,0,245,6-1,Miami (FL),2/8/1979,6,0,Green Bay Packers / 4th / 135th pick / 2002
53,Bruce Davis,23,,5,0,241,6-3,UCLA,9/2/1985,Rook,0,Pittsburgh Steelers / 3rd / 88th pick / 2008
38,Carey Davis,27,,14,3,225,5-10,Illinois,3/27/1981,1,0,
2,Dennis Dixon,23,,1,0,195,6-3,Oregon,1/11/1985,Rook,0,Pittsburgh Steelers / 5th / 156th pick / 2008
93,Nick Eason,28,,15,0,301,6-3,Clemson,5/29/1980,4,2,Denver Broncos / 4th / 114th pick / 2003
5,Paul Ernster,26,,3,0,217,6-0,Northern Arizona,1/26/1982,3,0,Denver Broncos / 7th / 239th pick / 2005
79,Trai Essex,26,,7,0,324,6-4,Northwestern,12/5/1982,3,1,Pittsburgh Steelers / 3rd / 93rd pick / 2005
51,James Farrior*,33,LILB,16,16,242,6-2,Virginia,1/6/1975,11,16,New York Jets / 1st / 8th pick / 1997
50,Larry Foote,28,RILB,16,16,234,6-0,Michigan,6/12/1980,6,9,Pittsburgh Steelers / 4th / 128th pick / 2002
57,Keyaron Fox,26,,13,0,220,6-3,Georgia Tech,1/24/1982,4,2,Kansas City Chiefs / 3rd / 93rd pick / 2004
54,Andre Frazier,26,,15,0,234,6-5,Cincinnati,6/29/1982,3,1,
22,William Gay,23,,16,4,183,5-10,Louisville,1/1/1985,1,3,Pittsburgh Steelers / 5th / 170th pick / 2007
98,Casey Hampton,31,NT,13,13,320,6-1,Texas,9/3/1977,7,7,Pittsburgh Steelers / 1st / 19th pick / 2001
92,James Harrison*+,30,ROLB,15,15,242,6-0,Kent St.,5/4/1978,6,19,
62,Justin Hartwig,30,C,16,16,305,6-4,Kansas,11/21/1978,6,8,Tennessee Titans / 6th / 187th pick / 2002
76,Chris Hoke,32,,16,3,296,6-3,BYU,4/6/1976,4,3,
10,Santonio Holmes,24,WR,15,15,185,5-10,Ohio St.,3/3/1984,2,7,Pittsburgh Steelers / 1st / 25th pick / 2006
99,Brett Keisel,30,RDE,10,10,285,6-5,BYU,9/19/1978,6,6,Pittsburgh Steelers / 7th / 242nd pick / 2002
68,Chris Kemoeatu,25,LG,16,16,344,6-3,Utah,1/4/1983,2,8,Pittsburgh Steelers / 6th / 204th pick / 2005
90,Travis Kirschke,34,de,16,6,298,6-3,UCLA,9/6/1974,11,6,
4,Byron Leftwich,28,,5,0,245,6-5,Marshall,1/14/1980,5,1,Jacksonville Jaguars / 1st / 7th pick / 2003
30,Roy Lewis,23,,1,0,190,5-10,Washington,5/19/1985,Rook,0,
37,Anthony Madison,27,,16,0,180,5-9,Alabama,10/8/1981,2,1,
20,Bryant McFadden,27,RCB,10,8,190,5-11,Florida St.,11/21/1981,3,5,Pittsburgh Steelers / 2nd / 62nd pick / 2005
49,Sean McHugh,26,,15,3,265,6-5,Penn St.,5/27/1982,4,0,Tennessee Titans / 7th / 241st pick / 2004
34,Rashard Mendenhall,21,,4,1,210,5-11,Illinois,6/19/1987,Rook,1,Pittsburgh Steelers / 1st / 23rd pick / 2008
83,Heath Miller,26,TE,14,14,256,6-5,Virginia,10/22/1982,3,5,Pittsburgh Steelers / 1st / 30th pick / 2005
21,Mewelde Moore,26,,16,4,210,5-11,Tulane,7/24/1982,4,7,Minnesota Vikings / 4th / 119th pick / 2004
39,Willie Parker,28,RB,11,11,209,5-10,North Carolina,11/11/1980,4,5,
65,Jeremy Parquet,26,,2,0,323,6-7,Southern Miss,4/11/1982,Rook,0,
71,Scott Paxson,25,,1,0,292,6-4,Penn St.,2/3/1983,Rook,0,
43,Troy Polamalu*+,27,SS,16,16,213,5-10,USC,4/19/1981,5,18,Pittsburgh Steelers / 1st / 16th pick / 2003
3,Jeff Reed,29,,16,0,226,5-11,North Carolina,4/9/1979,6,3,
61,Jared Retkofsky,25,,9,0,260,6-5,TCU,3/16/1983,Rook,1,
